MARCA,CAMPUS
AGES,AGES LIVE
AGES,IRECÊ
AGES,JACOBINA
AGES,PARIPIRANGA
AGES,SENHOR DO BONFIM
AGES,TUCANO
AGES,UNIDADE ACADÊMICA IRECÊ
AGES,UNIDADE ACADÊMICA JACOBINA
AGES,UNIDADE ACADÊMICA PARIPIRANGA
AGES,UNIDADE ACADÊMICA SENHOR DO BONFIM
FADERGS,ALVORADA - CENTRO
FADERGS,ARROIO DOS RATOS
FADERGS,CANOAS
FADERGS,CANOAS - CENTRO
FADERGS,CENTRO
FADERGS,CHARQUEADAS
FADERGS,ESTEIO
FADERGS,FADERGS LIVE
FADERGS,GRAVATAÍ
FADERGS,MONTENEGRO
FADERGS,PORTO ALEGRE - CENTRO
FADERGS,PORTO ALEGRE - CRISTO REDENTOR
FADERGS,PORTO ALEGRE - ORFANOTRÓFIO
FADERGS,PORTO ALEGRE - ZONA NORTE
FADERGS,SANTA MARIA
FADERGS,SAPUCAIA DO SUL
FADERGS,SMART PORTO ALEGRE - FAPA
FADERGS,TEUTÔNIA
FADERGS,TIMBÓ
FADERGS,UNIDADE ACADÊMICA CENTRO
FADERGS,VIAMÃO
FASEH,FASEH
FPB,CAMPINA GRANDE - CENTRO L
FPB,FPB LIVE
FPB,JOÃO PESSOA - CENTRO
FPB,TAMBIÁ
FPB,UNIDADE ACADÊMICA TAMBIÁ
IBMR,ANGRA DOS REIS - CENTRO II
IBMR,ARARUAMA - CENTRO
IBMR,BARRA
IBMR,BARRA MANSA - CENTRO II
IBMR,BELFORD ROXO - CENTRO
IBMR,BOTAFOGO
IBMR,CABO FRIO - CENTRO
IBMR,CAMPOS DOS GOYTACAZES
IBMR,CAMPOS DOS GOYTACAZES - PARQUE LEOPOLDINA
IBMR,CATETE
IBMR,DUQUE DE CAXIAS - CENTRO II
IBMR,IBMR LIVE
IBMR,ITAGUAÍ - CENTRO II
IBMR,MACAÉ
IBMR,MARICÁ - CENTRO
IBMR,NILÓPOLIS - CENTRO II
IBMR,NITERÓI - CENTRO
IBMR,NOVA IGUAÇU - CENTRO II
IBMR,NOVA IGUAÇU - CENTRO III
IBMR,PETRÓPOLIS - CENTRO
IBMR,RESENDE - CENTRO II
IBMR,RIO DAS OSTRAS
IBMR,RIO DE JANEIRO - BANGU SILVA CARDOSO
IBMR,RIO DE JANEIRO - BARRA DA TIJUCA
IBMR,RIO DE JANEIRO - BARRA JD. OCEÂNICO
IBMR,RIO DE JANEIRO - BARRA OLÍMPICA
IBMR,RIO DE JANEIRO - BONSUCESSO
IBMR,RIO DE JANEIRO - BOTAFOGO
IBMR,RIO DE JANEIRO - CACHAMBI
IBMR,RIO DE JANEIRO - CAMPO GRANDE
IBMR,RIO DE JANEIRO - CASCADURA
IBMR,RIO DE JANEIRO - CENTRO
IBMR,RIO DE JANEIRO - CIDADE NOVA
IBMR,RIO DE JANEIRO - COPACABANA
IBMR,RIO DE JANEIRO - FREGUESIA
IBMR,RIO DE JANEIRO - ILHA DO GOVERNADOR II
IBMR,RIO DE JANEIRO - IPANEMA
IBMR,RIO DE JANEIRO - IRAJÁ
IBMR,RIO DE JANEIRO - MADUREIRA
IBMR,RIO DE JANEIRO - MARACANÃ
IBMR,RIO DE JANEIRO - MÉIER I
IBMR,RIO DE JANEIRO - RECREIO DOS BANDEIRANTES II
IBMR,RIO DE JANEIRO - SANTA CRUZ CENTRO
IBMR,RIO DE JANEIRO - TAQUARA
IBMR,RIO DE JANEIRO - TIJUCA
IBMR,RIO DE JANEIRO - VILA DA PENHA
IBMR,RIO DE JANEIRO - VILA ISABEL
IBMR,RIO DE JANEIRO - VILA VALQUEIRE
IBMR,SÃO GONÇALO - ALCÂNTARA
IBMR,SÃO GONÇALO - CENTRO
IBMR,SÃO JOÃO DE MERITI - CENTRO II
IBMR,SMART RIO DE JANEIRO - NOVA FRIBURGO
IBMR,UNIDADE ACADÊMICA BARRA
IBMR,UNIDADE ACADÊMICA BOTAFOGO
IBMR,UNIDADE ACADÊMICA CATETE
IBMR,VOLTA REDONDA - ATERRADO I
MCAMPOS,MILTON CAMPOS
UAM,ALMENARA - CENTRO
UAM,ALTA FLORESTA - CENTRO
UAM,ALTO ARAGUAIA
UAM,AMERICANA - JARDIM GLÓRIA
UAM,ANANINDEUA - CIDADE NOVA
UAM,ANDRADINA - CENTRO
UAM,ARAÇATUBA - CENTRO II
UAM,ARARAQUARA - CENTRO
UAM,ARARAS
UAM,ARTUR NOGUEIRA - CENTRO
UAM,ARUJÁ - CENTER VILLE
UAM,ASSIS - CENTRO
UAM,ATIBAIA
UAM,AVARÉ - CENTRO
UAM,AVENIDA PAULISTA
UAM,BALNEÁRIO CAMBORIÚ - CENTRO II
UAM,BARBACENA - CENTRO
UAM,BARRETOS
UAM,BARUERI
UAM,BARUERI - BETHAVILLE
UAM,BATATAIS - CENTRO
UAM,BAURU - ALTOS DA CIDADE
UAM,BAURU - CENTRO
UAM,BELO HORIZONTE - BARREIRO
UAM,BELO HORIZONTE - BARRO PRETO
UAM,BELO HORIZONTE - CARLOS PRATES
UAM,BELO HORIZONTE - DIREITO NA ESCOLA
UAM,BELO HORIZONTE - NOVA SUÍÇA
UAM,BELO HORIZONTE - PAMPULHA I
UAM,BELO HORIZONTE - SAGRADA FAMÍLIA
UAM,BIRIGUI - CENTRO
UAM,BLUMENAU - CENTRO
UAM,BOA VISTA (MA)
UAM,BOITUVA
UAM,BOTUCATU
UAM,BRAGANÇA PAULISTA
UAM,BRASÍLIA - ASA NORTE
UAM,BRASÍLIA - CEILÂNDIA
UAM,BRASÍLIA - SOBRADINHO
UAM,BRASÍLIA - TAGUATINGA PISTÃO SUL
UAM,CAÇAPAVA - CENTRO
UAM,CAIEIRAS
UAM,CAJAMAR - CENTRO
UAM,CAMPINAS - CENTRO
UAM,CAMPO GRANDE
UAM,CAMPO GRANDE - JARDIM AERO RANCHO
UAM,CAMPO LIMPO PAULISTA - ZONA CENTRAL
UAM,CAPIVARI - CENTRO
UAM,CARAGUATATUBA
UAM,CARAPICUÍBA
UAM,CATANDUVA - CENTRO II
UAM,CENTRO - MOOCA
UAM,CONSELHEIRO LAFAIETE - CAMPO ALEGRE
UAM,CONTAGEM - ELDORADO
UAM,CORUMBÁ - CENTRO
UAM,COSMÓPOLIS - CENTRO
UAM,COTIA
UAM,CRICIÚMA - CENTRO
UAM,CRISTALINA
UAM,CRUZEIRO - CENTRO
UAM,CUIABÁ - BISPO
UAM,CUIABÁ - CENTRO II
UAM,CURITIBA - CENTRO I
UAM,CURITIBA - CENTRO I (MA)
UAM,DIADEMA - CENTRO
UAM,DIVINÓPOLIS - CENTRO
UAM,EMBU DAS ARTES - CENTRO
UAM,FERRAZ DE VASCONCELOS - CENTRO
UAM,FLORIANÓPOLIS - DIB MUSSI
UAM,FLORIANÓPOLIS - INGLESES
UAM,FORTALEZA - CENTRO I
UAM,FORTALEZA - FÁTIMA
UAM,FORTALEZA - PARQUELÂNDIA
UAM,FOZ DO IGUAÇU
UAM,FRANCA - CENTRO
UAM,FRANCISCO MORATO - CENTRO
UAM,FRANCO DA ROCHA - CENTRO I
UAM,GOIÂNIA - CENTRO I (MA)
UAM,GOIÂNIA - JARDIM ATLÂNTICO
UAM,GUARATINGUETÁ - CENTRO
UAM,GUARUJÁ - JARDIM SANTENSE
UAM,GUARULHOS - CENTRO
UAM,GUARULHOS BOM CLIMA - AEROPORTO
UAM,GUAXUPÉ
UAM,HORTOLÂNDIA - ADVENTISTA
UAM,HORTOLÂNDIA - EMANCIPAÇÃO
UAM,IBIÚNA - CENTRO
UAM,INDAIATUBA - CENTRO
UAM,INDAIATUBA - ITAICI
UAM,IPAMERI
UAM,ITABIRA - JARDIM GABIROBA (MA)
UAM,ITAIM PAULISTA
UAM,ITAJAÍ - CENTRO
UAM,ITANHAÉM - CENTRO
UAM,ITAPECERICA DA SERRA
UAM,ITAPETININGA
UAM,ITAPEVI - CENTRO
UAM,ITAQUAQUECETUBA
UAM,ITATIBA - CENTRO
UAM,ITU - CENTRO I
UAM,ITUPEVA - CENTRO
UAM,JABOTICABAL
UAM,JACAREÍ
UAM,JANDIRA - CENTRO
UAM,JARAGUÁ DO SUL - CENTRO
UAM,JAÚ - CENTRO
UAM,JUAZEIRO DO NORTE - SALESIANOS I
UAM,JUIZ DE FORA - CENTRO
UAM,JUNDIAÍ - CENTRO
UAM,LEME - CENTRO
UAM,LIMEIRA
UAM,LIMEIRA - MORRO AZUL
UAM,LINHARES - CENTRO
UAM,LONDRINA - CENTRO - OM
UAM,LONDRINA - PALHANO
UAM,LORENA - CENTRO
UAM,LOUVEIRA - CENTRO
UAM,MACAPÁ - LAGUINHO
UAM,MAIRINQUE - CENTRO
UAM,MAIRIPORÃ - CENTRO
UAM,MANAUS - PLAZA SHOPPING
UAM,MANDAGUAÇU - CENTRO
UAM,MANDAGUAÇU - CENTRO (MA)
UAM,MARILIA - CENTRO
UAM,MARINGÁ - NOVO CENTRO II
UAM,MAUÁ - VILA BOCAINA
UAM,MOGI DAS CRUZES
UAM,MOGI DAS CRUZES - BRÁS CUBAS
UAM,MOGI DAS CRUZES (INATIVO)
UAM,MOGI GUAÇU - CENTRO
UAM,MOGI MIRIM - CENTRO
UAM,MONGAGUÁ
UAM,MONTE MOR - CENTRO
UAM,MONTES CLAROS - CENTRO
UAM,NÃO INFORMADO
UAM,NOVA AURORA
UAM,OSASCO - CENTRO
UAM,OSASCO - KM 18
UAM,OSASCO - VILA CAMPESINA
