,Chave,UC,Tipo de UC,Semestre,Modelo,Marca,Base de Alunos,Máximo de Alunos,Tipo de CH,Ator Pedagógico
0,USJT - PPI 1 - PEDAGOGIA - Semi Presencial 30.20 Licenciatura - AMERICANA : JARDIM GIRASSOL,PPI 1,PPI,6,Semi Presencial 30.20 Licenciatura,USJT,35,120.0,Presencial,Professor Regente
1,USJT - PPI 1 - PEDAGOGIA - Semi Presencial 30.20 Licenciatura - UNIDADE ACADÊMICA MOOCA,PPI 1,PPI,6,Semi Presencial 30.20 Licenciatura,USJT,37,120.0,Presencial,Professor Regente
2,USJT - PPI 1 - PEDAGOGIA - Semi Presencial 30.20 Licenciatura - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,PPI 1,PPI,6,Semi Presencial 30.20 Licenciatura,USJT,34,120.0,Presencial,Professor Regente
3,USJT - PPI 2 - PEDAGOGIA - Semi Presencial 30.20 Licenciatura - AMERICANA : JARDIM GIRASSOL,PPI 2,PPI,7,Semi Presencial 30.20 Licenciatura,USJT,15,120.0,Presencial,Professor Regente
4,USJT - PPI 2 - PEDAGOGIA - Semi Presencial 30.20 Licenciatura - UNIDADE ACADÊMICA MOOCA,PPI 2,PPI,7,Semi Presencial 30.20 Licenciatura,USJT,20,120.0,Presencial,Professor Regente
5,USJT - PPI 2 - PEDAGOGIA - Semi Presencial 30.20 Licenciatura - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,PPI 2,PPI,7,Semi Presencial 30.20 Licenciatura,USJT,22,120.0,Presencial,Professor Regente
6,USJT - UC10 - BIOMEDICINA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC10,UC (1-6),5,Semi Presencial 40.20 Bacharelado,USJT,32,120.0,Presencial,Mediador Presencial
7,USJT - UC10 - BIOMEDICINA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC10,UC (1-6),5,Semi Presencial 40.20 Bacharelado,USJT,29,120.0,Presencial,Mediador Presencial
8,USJT - UC10 - EDUCAÇÃO FÍSICA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC10,UC (1-6),5,Semi Presencial 40.20 Bacharelado,USJT,22,120.0,Presencial,Mediador Presencial
9,USJT - UC10 - EDUCAÇÃO FÍSICA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC10,UC (1-6),5,Semi Presencial 40.20 Bacharelado,USJT,31,120.0,Presencial,Mediador Presencial
10,USJT - UC10 - FARMÁCIA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC10,UC (1-6),5,Semi Presencial 40.20 Bacharelado,USJT,24,120.0,Presencial,Mediador Presencial
11,USJT - UC10 - FARMÁCIA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC10,UC (1-6),5,Semi Presencial 40.20 Bacharelado,USJT,19,120.0,Presencial,Mediador Presencial
12,USJT - UC10 - FISIOTERAPIA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC10,UC (1-6),5,Semi Presencial 40.20 Bacharelado,USJT,21,120.0,Presencial,Mediador Presencial
13,USJT - UC10 - FISIOTERAPIA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC10,UC (1-6),5,Semi Presencial 40.20 Bacharelado,USJT,28,120.0,Presencial,Mediador Presencial
14,USJT - UC10 - NUTRIÇÃO - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC10,UC (1-6),5,Semi Presencial 40.20 Bacharelado,USJT,25,120.0,Presencial,Mediador Presencial
15,USJT - UC10 - NUTRIÇÃO - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC10,UC (1-6),5,Semi Presencial 40.20 Bacharelado,USJT,29,120.0,Presencial,Mediador Presencial
16,USJT - UC11 - ADMINISTRAÇÃO - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC11,UC (4-8),6,Semi Presencial 30.20 Bacharelado,USJT,30,120.0,Presencial,Mediador Presencial
17,USJT - UC11 - ADMINISTRAÇÃO - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC11,UC (4-8),6,Semi Presencial 30.20 Bacharelado,USJT,30,120.0,Presencial,Mediador Presencial
18,USJT - UC11 - BIOMEDICINA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC11,UC (1-6),6,Semi Presencial 40.20 Bacharelado,USJT,40,120.0,Presencial,Mediador Presencial
19,USJT - UC11 - BIOMEDICINA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC11,UC (1-6),6,Semi Presencial 40.20 Bacharelado,USJT,36,120.0,Presencial,Mediador Presencial
20,USJT - UC11 - CIÊNCIAS CONTÁBEIS - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC11,UC (4-8),6,Semi Presencial 30.20 Bacharelado,USJT,45,120.0,Presencial,Mediador Presencial
21,USJT - UC11 - CIÊNCIAS CONTÁBEIS - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC11,UC (4-8),6,Semi Presencial 30.20 Bacharelado,USJT,34,120.0,Presencial,Mediador Presencial
22,USJT - UC11 - EDUCAÇÃO FÍSICA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC11,UC (1-6),6,Semi Presencial 40.20 Bacharelado,USJT,44,120.0,Presencial,Mediador Presencial
23,USJT - UC11 - EDUCAÇÃO FÍSICA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC11,UC (1-6),6,Semi Presencial 40.20 Bacharelado,USJT,47,120.0,Presencial,Mediador Presencial
24,USJT - UC11 - FARMÁCIA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC11,UC (1-6),6,Semi Presencial 40.20 Bacharelado,USJT,33,120.0,Presencial,Mediador Presencial
25,USJT - UC11 - FARMÁCIA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC11,UC (1-6),6,Semi Presencial 40.20 Bacharelado,USJT,36,120.0,Presencial,Mediador Presencial
26,USJT - UC11 - FISIOTERAPIA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC11,UC (1-6),6,Semi Presencial 40.20 Bacharelado,USJT,33,120.0,Presencial,Mediador Presencial
27,USJT - UC11 - FISIOTERAPIA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC11,UC (1-6),6,Semi Presencial 40.20 Bacharelado,USJT,34,120.0,Presencial,Mediador Presencial
28,USJT - UC11 - NUTRIÇÃO - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC11,UC (1-6),6,Semi Presencial 40.20 Bacharelado,USJT,42,120.0,Presencial,Mediador Presencial
29,USJT - UC11 - NUTRIÇÃO - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC11,UC (1-6),6,Semi Presencial 40.20 Bacharelado,USJT,37,120.0,Presencial,Mediador Presencial
30,USJT - UC12 - ADMINISTRAÇÃO - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC12,UC (4-8),6,Semi Presencial 30.20 Bacharelado,USJT,30,120.0,Presencial,Mediador Presencial
31,USJT - UC12 - ADMINISTRAÇÃO - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC12,UC (4-8),6,Semi Presencial 30.20 Bacharelado,USJT,30,120.0,Presencial,Mediador Presencial
32,USJT - UC12 - BIOMEDICINA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC12,UC (1-6),6,Semi Presencial 40.20 Bacharelado,USJT,40,120.0,Presencial,Mediador Presencial
33,USJT - UC12 - BIOMEDICINA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC12,UC (1-6),6,Semi Presencial 40.20 Bacharelado,USJT,36,120.0,Presencial,Mediador Presencial
34,USJT - UC12 - CIÊNCIAS CONTÁBEIS - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC12,UC (4-8),6,Semi Presencial 30.20 Bacharelado,USJT,45,120.0,Presencial,Mediador Presencial
35,USJT - UC12 - CIÊNCIAS CONTÁBEIS - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC12,UC (4-8),6,Semi Presencial 30.20 Bacharelado,USJT,34,120.0,Presencial,Mediador Presencial
36,USJT - UC12 - EDUCAÇÃO FÍSICA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC12,UC (1-6),6,Semi Presencial 40.20 Bacharelado,USJT,44,120.0,Presencial,Mediador Presencial
37,USJT - UC12 - EDUCAÇÃO FÍSICA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC12,UC (1-6),6,Semi Presencial 40.20 Bacharelado,USJT,47,120.0,Presencial,Mediador Presencial
38,USJT - UC12 - FARMÁCIA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC12,UC (1-6),6,Semi Presencial 40.20 Bacharelado,USJT,33,120.0,Presencial,Mediador Presencial
39,USJT - UC12 - FARMÁCIA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC12,UC (1-6),6,Semi Presencial 40.20 Bacharelado,USJT,36,120.0,Presencial,Mediador Presencial
40,USJT - UC12 - FISIOTERAPIA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC12,UC (1-6),6,Semi Presencial 40.20 Bacharelado,USJT,33,120.0,Presencial,Mediador Presencial
41,USJT - UC12 - FISIOTERAPIA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC12,UC (1-6),6,Semi Presencial 40.20 Bacharelado,USJT,34,120.0,Presencial,Mediador Presencial
42,USJT - UC12 - NUTRIÇÃO - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC12,UC (1-6),6,Semi Presencial 40.20 Bacharelado,USJT,42,120.0,Presencial,Mediador Presencial
43,USJT - UC12 - NUTRIÇÃO - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC12,UC (1-6),6,Semi Presencial 40.20 Bacharelado,USJT,37,120.0,Presencial,Mediador Presencial
44,USJT - UC13 - ADMINISTRAÇÃO - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC13,UC (4-8),7,Semi Presencial 30.20 Bacharelado,USJT,21,120.0,Presencial,Mediador Presencial
45,USJT - UC13 - ADMINISTRAÇÃO - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC13,UC (4-8),7,Semi Presencial 30.20 Bacharelado,USJT,23,120.0,Presencial,Mediador Presencial
46,USJT - UC13 - ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - Semi Presencial 30.20 Bacharelado - AMERICANA : JARDIM GIRASSOL,UC13,UC (4-8),7,Semi Presencial 30.20 Bacharelado,USJT,25,120.0,Presencial,Mediador Presencial
47,USJT - UC13 - ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC13,UC (4-8),7,Semi Presencial 30.20 Bacharelado,USJT,21,120.0,Presencial,Mediador Presencial
48,USJT - UC13 - ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC13,UC (4-8),7,Semi Presencial 30.20 Bacharelado,USJT,23,120.0,Presencial,Mediador Presencial
49,USJT - UC13 - BIOMEDICINA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC13,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,25,120.0,Presencial,Mediador Presencial
50,USJT - UC13 - BIOMEDICINA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC13,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,20,120.0,Presencial,Mediador Presencial
51,USJT - UC13 - CIÊNCIAS CONTÁBEIS - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC13,UC (4-8),7,Semi Presencial 30.20 Bacharelado,USJT,21,120.0,Presencial,Mediador Presencial
52,USJT - UC13 - CIÊNCIAS CONTÁBEIS - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC13,UC (4-8),7,Semi Presencial 30.20 Bacharelado,USJT,19,120.0,Presencial,Mediador Presencial
53,USJT - UC13 - EDUCAÇÃO FÍSICA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC13,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,18,120.0,Presencial,Mediador Presencial
54,USJT - UC13 - EDUCAÇÃO FÍSICA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC13,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,20,120.0,Presencial,Mediador Presencial
55,USJT - UC13 - ENGENHARIA CIVIL - Semi Presencial 40.20 Bacharelado - AMERICANA : JARDIM GIRASSOL,UC13,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,24,120.0,Presencial,Mediador Presencial
56,USJT - UC13 - ENGENHARIA CIVIL - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC13,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,25,120.0,Presencial,Mediador Presencial
57,USJT - UC13 - ENGENHARIA CIVIL - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC13,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,17,120.0,Presencial,Mediador Presencial
58,USJT - UC13 - ENGENHARIA DE PRODUÇÃO - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC13,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,24,120.0,Presencial,Mediador Presencial
59,USJT - UC13 - ENGENHARIA DE PRODUÇÃO - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC13,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,23,120.0,Presencial,Mediador Presencial
60,USJT - UC13 - ENGENHARIA ELÉTRICA - Semi Presencial 40.20 Bacharelado - AMERICANA : JARDIM GIRASSOL,UC13,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,20,120.0,Presencial,Mediador Presencial
61,USJT - UC13 - ENGENHARIA ELÉTRICA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC13,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,22,120.0,Presencial,Mediador Presencial
62,USJT - UC13 - ENGENHARIA MECÂNICA - Semi Presencial 40.20 Bacharelado - AMERICANA : JARDIM GIRASSOL,UC13,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,22,120.0,Presencial,Mediador Presencial
63,USJT - UC13 - ENGENHARIA MECÂNICA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC13,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,28,120.0,Presencial,Mediador Presencial
64,USJT - UC13 - FARMÁCIA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC13,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,19,120.0,Presencial,Mediador Presencial
65,USJT - UC13 - FARMÁCIA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC13,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,21,120.0,Presencial,Mediador Presencial
66,USJT - UC13 - FISIOTERAPIA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC13,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,22,120.0,Presencial,Mediador Presencial
67,USJT - UC13 - FISIOTERAPIA - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC13,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,19,120.0,Presencial,Mediador Presencial
68,USJT - UC13 - NUTRIÇÃO - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC13,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,23,120.0,Presencial,Mediador Presencial
69,USJT - UC13 - NUTRIÇÃO - Semi Presencial 40.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC13,UC (7-9),7,Semi Presencial 40.20 Bacharelado,USJT,26,120.0,Presencial,Mediador Presencial
70,USJT - UC14 - ADMINISTRAÇÃO - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC14,UC (4-8),7,Semi Presencial 30.20 Bacharelado,USJT,21,120.0,Presencial,Mediador Presencial
71,USJT - UC14 - ADMINISTRAÇÃO - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA SÃO BERNARDO DO CAMPO,UC14,UC (4-8),7,Semi Presencial 30.20 Bacharelado,USJT,23,120.0,Presencial,Mediador Presencial
72,USJT - UC14 - ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - Semi Presencial 30.20 Bacharelado - AMERICANA : JARDIM GIRASSOL,UC14,UC (4-8),7,Semi Presencial 30.20 Bacharelado,USJT,25,120.0,Presencial,Mediador Presencial
73,USJT - UC14 - ANÁLISE E DESENVOLVIMENTO DE SISTEMAS - Semi Presencial 30.20 Bacharelado - UNIDADE ACADÊMICA MOOCA,UC14,UC (4-8),7,Semi Presencial 30.20 Bacharelado,USJT,21,120.0,Presencial,Mediador Presencial
